n,Lower,Upper
4,-0.123052,0.775552
5,-0.099255,0.751655
6,-0.068275673,0.68594234
7,-0.029869586,0.671583872
8,-0.006213148,0.652713148
9,0.0291781,0.616599678
10,0.034782939,0.612217061
11,0.051454957,0.599999589
12,0.061757307,0.583742693
13,0.055261154,0.58335423
14,0.078263076,0.567308352
15,0.077120004,0.556879996
16,0.099064359,0.547685641
17,0.095529341,0.543294188
18,0.109683142,0.539872413
19,0.11573439,0.520791925
20,0.111479415,0.524720585
21,0.120090091,0.521148004
22,0.129529502,0.516561407
23,0.124575329,0.510815976
24,0.132114718,0.517635282
25,0.140492223,0.496947777
26,0.138721728,0.499432118
27,0.138565613,0.497508461
28,0.154313606,0.482400679
29,0.143869145,0.490889476
30,0.15082517,0.491108163
31,0.15454825,0.484161427
32,0.162102381,0.480022619
33,0.165399662,0.46902458
34,0.167335577,0.47978207
35,0.16459448,0.472834091
36,0.164802071,0.47280904
37,0.171792437,0.472207563
38,0.171752759,0.47056303
39,0.173150001,0.469003845
40,0.178265115,0.463284885
41,0.186214283,0.45910279
42,0.177066614,0.460838148
43,0.1782371,0.458786156
44,0.183910758,0.456589242
45,0.182128189,0.459116255
46,0.183606581,0.459741245
47,0.187201283,0.453224249
48,0.190422998,0.461243669
49,0.18891114,0.454517432
50,0.19201344,0.45190656
51,0.19591042,0.442677815
52,0.193170332,0.447252745
53,0.199052395,0.44362685
54,0.19796873,0.445660899
55,0.192819618,0.4485622
56,0.205251069,0.443713216
57,0.203315149,0.437140992
58,0.204177406,0.440684663
59,0.20451948,0.440633062
60,0.207005554,0.441294446
61,0.204710552,0.440436989
62,0.206113999,0.436724711
63,0.205354664,0.439280257
64,0.203152351,0.440597649
65,0.204847687,0.434936928
66,0.21404685,0.432074362
67,0.208583863,0.436610167
68,0.207192642,0.43433677
69,0.212705677,0.425149396
70,0.209574304,0.432339982
71,0.211216318,0.430473823
72,0.212897303,0.433630475
73,0.207683658,0.428699903
74,0.213582125,0.427877334
75,0.216101551,0.424271782
76,0.214625522,0.427058688
77,0.220654539,0.422254551
78,0.218123473,0.428902168
79,0.213909158,0.424495905
80,0.220605788,0.419494212
81,0.221388838,0.424882767
82,0.218348412,0.420480857
83,0.218784886,0.42497415
84,0.219728789,0.421723592
85,0.225488828,0.41655823
86,0.222883672,0.418907025
87,0.219658347,0.420111768
88,0.222845331,0.419086488
89,0.223101278,0.416134677
90,0.228125268,0.419296954
91,0.224660761,0.418130448
92,0.227464031,0.416840317
93,0.22498777,0.419786424
94,0.229204656,0.419348535
95,0.227588961,0.41097946
96,0.224401772,0.414889895
97,0.227765558,0.411430318
98,0.229085396,0.414118685
99,0.225739434,0.412280768
100,0.231067474,0.410792526
101,0.22905994,0.409811347
102,0.227625104,0.412119994
103,0.232089984,0.410783803
104,0.23293318,0.406989897
105,0.229722423,0.412087101
106,0.23042002,0.406806395
107,0.232389363,0.404788207
108,0.232667437,0.406758489
109,0.228274778,0.411725222
110,0.231394352,0.408660193
111,0.233420145,0.407570846
112,0.235249614,0.405071815
113,0.235008463,0.409221626
114,0.233195475,0.406471192
115,0.237650387,0.410558308
116,0.233744985,0.405961911
117,0.233206401,0.403699582
118,0.235370908,0.405340956
119,0.234327436,0.404596934
120,0.235164629,0.402102037
121,0.240768091,0.404355876
122,0.239660833,0.402093266
123,0.239571009,0.405762324
124,0.237535493,0.403432249
125,0.236577943,0.404750057
126,0.241055267,0.403389177
127,0.23940188,0.398771348
128,0.241517724,0.402982276
129,0.239364991,0.402650513
130,0.240845349,0.400308497
131,0.244202479,0.398469276
132,0.240674109,0.404189527
133,0.243602326,0.399450306
134,0.240424454,0.398500919
135,0.239724129,0.399268464
136,0.242548755,0.397113009
137,0.24212064,0.403820966
138,0.244068826,0.396699289
139,0.243847801,0.397058674
140,0.24556176,0.399423954
141,0.243564204,0.401840051
142,0.241219982,0.399681427
143,0.242676192,0.399785346
144,0.245290676,0.395375991
145,0.250105617,0.394184038
146,0.245661626,0.397132894
147,0.245123835,0.395801335
148,0.242127565,0.3937373
149,0.246255104,0.39181201
150,0.246949759,0.394050241
151,0.242141761,0.400268835
152,0.246224581,0.395604367
153,0.24629593,0.395952436
154,0.243424159,0.391705711
155,0.246351715,0.391286995
156,0.246869591,0.394117589
157,0.248390422,0.391979005
158,0.245459757,0.398021256
159,0.247420218,0.394001165
160,0.248508208,0.392691792
161,0.24787113,0.391172348
162,0.248958287,0.390955293
163,0.247903086,0.39286992
164,0.246525906,0.393096045
165,0.251755422,0.391080941
166,0.2533442,0.390342547
167,0.249795333,0.390779517
168,0.254123966,0.389756987
169,0.249572395,0.392297427
170,0.2492548,0.393956965
171,0.250786611,0.390862512
172,0.249505336,0.388715595
173,0.2540107,0.389180051
174,0.248750936,0.391708834
175,0.250951605,0.390145537
176,0.252527286,0.389449987
177,0.251733817,0.389870702
178,0.254123937,0.38883112
179,0.251971615,0.390341234
180,0.253958644,0.389496911
181,0.252039952,0.38870038
182,0.255109162,0.38697875
183,0.253114082,0.387377721
184,0.25367199,0.387947575
185,0.253952662,0.38886896
186,0.257688153,0.38688174
187,0.251934531,0.387520014
188,0.255977143,0.385927113
189,0.252973194,0.389217283
190,0.255341338,0.389879714
191,0.252558859,0.386446377
192,0.251886707,0.387561209
193,0.254475887,0.386197688
194,0.253530551,0.38444883
195,0.256407897,0.385592103
196,0.253749577,0.38611777
197,0.25787277,0.383142459
198,0.255968788,0.384687778
199,0.256059537,0.386674131
